Bosh og'rig'i,Boshaylanishi,qo'l va oyoq kuchsizlanishi,quloqlarda shovqin,muvozanat buzilishi;50;100;70;30;insult
Bosh yarmida og'riq,hurijli og'riq,ko'ngil aynishi,bosh aylanishi;18;30;30;70;Migren
Bosh ensa sohasida og'riq,bo'yin sohasidagi og'riq,bosh aylanishi,ko'ngil aynishi,holsizlik;18;30;30;70;Servikokransiyalgiya
Beli va quymish sohasidagi,yurish va turish qiyinligi,chap oyog'iga og'riq uzatilishi;30;50;50;50;Vertebrogen lumboshiya
Bosh og'rig'i,bosh aylanishi,kayfiyat o'zgaruvchanligi,qo'l va oyoqlarda og'riq,uyqu buzilishi,holsizlik;18;30;20;80;Asteno-nevrotik sindrom
Bosh og'rigi,bosh aylanishi,quloqlardagi shovqin,holsizlik,uyqu buzilishi,qon bosim ko'tarilishi;30;50;50;50;Gipertonik ensifalopatiya
Bosh og'rig'i,bosh aylanishi,quloqlardagi shovqin,xotira sustligi,xolsizlik;20;30;50;50;Idiopatik epelipsiya
Qo'l va oyoqlar uvishishi,oyoqlarda og'riq,yurish qiyinlashishi,holsizlik;35;40;40;60;Diabetik polinevropatiya
Bosh og'rig'i,bosh aylanishi,ovoz o'zgarishi,kayfiyat o'zgaruvchanligi,xolsizlik;35;40;50;50;Miasteniya
Chap yoki o'ng ko'zi yaxshi yumilmasligi,yuz qiyshayishi,quloqlari orqasidagi og'riq;15;25;50;50;Yuz nervi nevropatiyasi
Qo'l oyoqlar kuchsizligi,Yurish va turish qiyinligi;15;20;70;30;Mushaklar distrofiyasi
Qo'l barmoqlarini ochishda qiynalishi,qo'l va oyoqlar kuchsizligiga,harakat,yurishva turish qiyinligidga;15;25;70;30;Tomsen miyatoniyasi
Bosh og'rig'i,vaqti vaqti bilan tutqonoq huruji,xotira sustligi,uyqu buzilishi;15;30;50;50;Epilepsiya kasaligi
Bosh og'rishi,bosh aylanishi,nutq buzilishi,qo'l va oyoqlar uvishishi,xotira sustligi,uyqu buzilishi;25;30;50;50;O'tkazilgan bosh miya jarohati
Qo'l va oyoqlar kuchsizligi,qollaridagi beihtiyoriy harakatlar,bosh og'rishi,xotira sustligi;3;16;50;50;Bolalar miya falajligi
Oyoqlari kuchsizligi,ozg'iligiga,kaltaligiga,belidagi Og'riqqa,yurish va turish qiyinligi;30;40;50;50;O'tkazilgan poliomuelit asorati
Yelkalardagi og'riq,uyqu buzilishi,og'riq harakatda kuchayishi,qo'llar uvishishi;30;40;50;50;Vertebragen braxiyalgiya
Bosh og'rig'i,bosh aylanishi,muvozanat buzilishi,uyqu buzilishi;40;50;50;50;Vertebragen disikulyator ensefalopatiya
Bosh og'rig'i,bosh aylanishi,quloqlarda shovqin,xotira sustligi,uyqu buzilishi;50;60;50;50;Disikulyator ensefalopatiya
Bosh og'rig'i,bosh aylanishi,quloqlarda shovqin,boshi va oyoq qo'llari qaltirashi,yurish turish qiyinligi;55;70;50;50;Parkinson kasalligi
